candidate_name,source,locator,region,entity_type_candidate,duplicate_check,decision,decision_reason,reviewed_by
住吉池の大蛇,https://www.pref.kagoshima.jp/ba04/kyoiku-bunka/school/kyodo/documents/109456_20231225132543-1.pdf,8「住吉池の大蛇（民話）」PDF 10–11頁,鹿児島県,folklore_being,既存name・alias・住吉池の局地例を検索し同一例なし,admit,教育委員会の民話本文で主体・行動を確認。別資料の異筋と自動統合しない,Codex
八木の大蛇,https://www.pref.hiroshima.lg.jp/site/monjokan/saigai-sub01-02-01.html,1－2（1）「実伝蛇王池物語」解説,広島県,folklore_being,既存八木・蛇王池の例なし,admit,県立文書館が大蛇退治伝説と辻作品の資料段階を明示。原作は未読,Codex
オロニョン,https://www.pref.fukushima.lg.jp/sec/16035b/touhokushizenhodou-25.html,コースガイド水神森・雄国沼,福島県,named_supernatural_entity,既存名・読み・雄国沼の例なし,admit,県の案内に固有名と沼の主を明示。祠の神との同一性は主張しない,Codex
上平川の大蛇,https://www.pref.kagoshima.jp/ab10/kyoiku-bunka/bunka/museum/shichoson/china/daijya.html,上平川の大蛇踊り本文,鹿児島県,folklore_being,既存同地なし,defer,現資料は芸能上の役。独立伝承の怪異との連続性は未確認,Codex
高城川のガラッパ,https://www.pref.kagoshima.jp/aa02/kohokocho/kouhoushi/kohosi/gurakago/documents/472-14.pdf,「稚児が淵」PDF 1頁,鹿児島県,folklore_being,既存ガラッパ類型・地域差を再確認要,defer,一群の河童と事件の記述で独立個体の粒度が未確定,Codex
茗荷沢ため池の悪霊,https://www.pref.fukushima.lg.jp/sec/36260a/sosonorin7.html,茗荷沢ため池の段落,福島県,supernatural_phenomenon,既存同地なし,defer,決壊原因として噂された不特定の悪霊で独立した主体性は未確認,Codex
皇徳寺の大蛇,https://www.city.kagoshima.lg.jp/kikakuzaisei/kikaku/seisaku-s/shise/shokai/shishi/documents/2012510162043.pdf,第八編民俗、第八節「伝説と民話」二「民話」1「皇徳寺の大蛇の話」、印刷頁1097／PDF 126頁,鹿児島県,folklore_being,既存同地なし,admit,鹿児島市公開『谷山市誌』（1967年3月）本文画像で見出し・大蛇の行動・印刷頁1097を直接確認。採録年と物語年代は不明,Codex
猫魔ヶ岳の話,https://www.pref.fukushima.lg.jp/sec/16035b/touhokushizenhodou-25.html,コースガイド猫魔ヶ岳,福島県,folklore_being,既存同地なし,reject,現資料は話の題名のみで超自然的主体の記述がない,Codex
犀竜,https://adeac.jp/shinshu-chiiki/texthtml/d100040-mh043200/mh043200/ht032030,翻刻表示頁4–6、犀竜・白竜王・小太郎の段,長野県,named_supernatural_entity,既存name・alias・所在地を検索し該当なし,admit,松本市文書館蔵写本の公開翻刻で固有名と超自然的役割を直接確認。伝承の起源・写本の書写年は未確認,Codex
白竜王,https://adeac.jp/shinshu-chiiki/texthtml/d100040-mh043200/mh043200/ht032030,翻刻表示頁4、東高梨の白竜王と日光泉小太郎の段,長野県,named_supernatural_entity,既存name・alias・所在地を検索し該当なし,admit,松本市文書館蔵写本の公開翻刻で固有名と超自然的役割を直接確認。伝承の起源・写本の書写年は未確認,Codex
日光泉小太郎,https://adeac.jp/shinshu-chiiki/texthtml/d100040-mh043200/mh043200/ht032030,翻刻表示頁4–6、出生および犀竜に乗る段,長野県,named_supernatural_entity,既存name・alias・所在地を検索し該当なし,admit,松本市文書館蔵写本の公開翻刻で固有名と超自然的役割を直接確認。伝承の起源・写本の書写年は未確認,Codex
魔道王,https://adeac.jp/shinshu-chiiki/texthtml/d100040-mh043200/mh043200/ht032030,翻刻表示頁7–8、中房山の鬼神と魔道王の段,長野県,named_supernatural_entity,既存name・alias・所在地を検索し該当なし,admit,松本市文書館蔵写本の公開翻刻で固有名と超自然的役割を直接確認。伝承の起源・写本の書写年は未確認,Codex
泉小次郎,https://adeac.jp/shinshu-chiiki/texthtml/d100040-mh043200/mh043200/ht032030,翻刻表示頁6–7、「一説」の後段,長野県,named_supernatural_entity,日光泉小太郎と同資料中の別筋。名前だけで統合しない,defer,同一人物・別人物・異伝の関係を現資料だけで確定しない,Codex
一つだたら,https://www.pref.wakayama.lg.jp/prefg/130600/kikakunishi/ayashi/ayashitop_d/fil/17-18hitotudatara.pdf,印刷頁17「一つだたら」、分割PDF「一つだたら・肉吸い」1頁右側,和歌山県,folklore_being,既存name・alias・同地の例を検索し該当なし,admit,県ガイド本文画像で呼称・超自然的行動・掲載頁を直接確認。後掲の元資料は未読,Codex
肉吸い,https://www.pref.wakayama.lg.jp/prefg/130600/kikakunishi/ayashi/ayashitop_d/fil/17-18hitotudatara.pdf,印刷頁18「肉吸い」、分割PDF「一つだたら・肉吸い」1頁左側,和歌山県,folklore_being,既存name・alias・同地の例を検索し該当なし,admit,県ガイド本文画像で呼称・超自然的行動・掲載頁を直接確認。後掲の元資料は未読,Codex
岩かじり,https://www.pref.wakayama.lg.jp/prefg/130600/kikakunishi/ayashi/ayashitop_d/fil/23-24usioni.pdf,印刷頁24「岩かじり」、分割PDF「牛鬼・岩かじり」1頁左側,和歌山県,folklore_being,既存name・alias・同地の例を検索し該当なし,admit,県ガイド本文画像で呼称・超自然的行動・掲載頁を直接確認。後掲の元資料は未読,Codex
おいの,https://www.pref.wakayama.lg.jp/prefg/130600/kikakunishi/ayashi/ayashitop_d/fil/11-12oino.pdf,印刷頁11「おいの」,和歌山県,named_supernatural_entity,既存name・aliasに該当なし。蛇など別主体との粒度を要確認,defer,娘と大蛇が現れる場面はあるが、娘の霊・大蛇の変身など主体の性質を確定できない,Codex
ましらら媛,https://www.pref.wakayama.lg.jp/prefg/130600/kikakunishi/ayashi/ayashitop_d/fil/11-12oino.pdf,印刷頁12「ましらら媛」,和歌山県,named_supernatural_entity,既存name・aliasに該当なし。蛇など別主体との粒度を要確認,reject,現本文では悲恋の人物として描かれ、超自然的主体とは確認できない,Codex
久保の小女郎,https://www.pref.wakayama.lg.jp/prefg/130600/kikakunishi/ayashi/ayashitop_d/fil/13-14kubono.pdf,印刷頁13「久保の小女郎」,和歌山県,named_supernatural_entity,既存name・aliasに該当なし。蛇など別主体との粒度を要確認,defer,大蛇に連れ去られる娘と蛇の主体を混同しないため保留,Codex
お浪,https://www.pref.wakayama.lg.jp/prefg/130600/kikakunishi/ayashi/ayashitop_d/fil/13-14kubono.pdf,印刷頁14「お浪」,和歌山県,named_supernatural_entity,既存name・aliasに該当なし。蛇など別主体との粒度を要確認,defer,現れた女性の性質が人霊か生身の人物か現本文だけでは判定できない,Codex
杵島山の松の精,https://www2.tosyo-saga.jp/kentosyo/web-mukashibanashi/title.html,No.27「あらすじ」,佐賀県,folklore_being,既存name・aliasに該当なし。他の木の精とは場所・語りが異なる,admit,索引に松の精と明記され、三谷城の松をめぐる一話として区別できる。原掲載本文は未照合,Codex
ミソゴロドン,https://www2.tosyo-saga.jp/kentosyo/web-mukashibanashi/title.html,No.90「あらすじ」,佐賀県,named_supernatural_entity,既存name・aliasに該当なし,admit,固有名をもつ巨人が多良岳・有明海に結びつく。原掲載本文は未照合,Codex
月見草の花嫁,https://www2.tosyo-saga.jp/kentosyo/web-mukashibanashi/title.html,No.59「あらすじ」,佐賀県,folklore_being,既存name・aliasに該当なし,defer,題名は人物名とは限らない。月見草の精を独立entityとする粒度と原掲載本文を要確認,Codex
